question,answer
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '1℃', '지상 14층, 지하 3층'입니다. 인적사고 '떨어짐(5미터 이상 ~ 10미터 미만)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '건설자재'(중분류: '철근')와 관련된 사고가 발생했습니다. 작업 프로세스는 '설치작업'이며, 장소는 '근린생활시설 / 내부', 부위는 '철근 / 고소' 입니다. 사고 원인은 '고소작업 중 추락 위험이 있음에도 불구하고, 안전난간대, 안전고리 착용 등 안전장치가 미흡하였음.'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",고소작업 시 추락 위험이 있는 부위에 안전장비 설치.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '10℃', '-'입니다. 인적사고 '끼임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '토목', 중분류 '터널' 공사 중 공종 대분류 '토목', 중분류 '터널공사' 작업에서 사고객체 '건설자재'(중분류: '볼트')와 관련된 사고가 발생했습니다. 작업 프로세스는 '운반작업'이며, 장소는 '철도터널 / 내부', 부위는 '볼트 / 바닥' 입니다. 사고 원인은 '부주의'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",재발 방지 대책 마련과 안전교육 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '14℃', '지상 5층, 지하 0층'입니다. 인적사고 '넘어짐(미끄러짐)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '기타'(중분류: '기타')와 관련된 사고가 발생했습니다. 작업 프로세스는 '형틀 및 목공'이며, 장소는 '업무시설 / 내부', 부위는 '기타 / 바닥' 입니다. 사고 원인은 '3층 슬라브 작업시 이동중  미끄러짐'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",현장자재 정리와 안전관리 철저를 통한 재발 방지 대책 및 공문 발송을 통한 향후 조치 계획.
"사고인지 시간 '휴일근무 -'이고, 날씨 '흐림' 일 때 기온 '12℃', '-'입니다. 인적사고 '기타'이고, 물적사고'전도' 입니다. 공사종류 대분류 '토목', 중분류 '하천' 공사 중 공종 대분류 '토목', 중분류 '하천공사' 작업에서 사고객체 '부재'(중분류: '교각 기초')와 관련된 사고가 발생했습니다. 작업 프로세스는 '조립작업'이며, 장소는 '기타 / 동산교 신축구간', 부위는 '교각 기초 / 바닥' 입니다. 사고 원인은 '교각 기초철근 조립 중 강한 바람에 의해 기둥측 주철근이 균형을 잃고 전도되어, 하부에서 작업 중이던 철근공 2명이 철근에 부딪힌 사고'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","위험성 평가 및 교육을 통해 작업장 내 위험요인과 안전수칙을 근로자에게 전파하고, 근로자 안전교육을 강화하며, 본 사고와 관련된 유사 피해 발생 방지를 위한 안전교육을 실시할 계획."
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '0℃', '지상 27층, 지하 3층'입니다. 인적사고 '넘어짐(미끄러짐)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '해체 및 철거공사' 작업에서 사고객체 '기타'(중분류: '건설폐기물')와 관련된 사고가 발생했습니다. 작업 프로세스는 '해체작업'이며, 장소는 '공동주택 / 내부', 부위는 '건설폐기물 / 바닥' 입니다. 사고 원인은 '근로자의 부주의'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",자재 정리 작업 시 세부 작업 방법에 대한 교육 실시와 작업 구간 이동 경로 점검 후 장애물 사전 정리 작업 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '강설' 일 때 기온 '1℃', '지상 12층, 지하 3층'입니다. 인적사고 '물체에 맞음'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '타일 및 돌공사' 작업에서 사고객체 '건설자재'(중분류: '자재')와 관련된 사고가 발생했습니다. 작업 프로세스는 '운반작업'이며, 장소는 '근린생활시설 / 외부', 부위는 '자재 / 바닥' 입니다. 사고 원인은 '일정 거리를 두고 떨어져 있었지만 튕겨서 방향이 바뀔 것을 예상하고 좀 더 거리를 두었어야함'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","인근 작업장의 윈치양중 사고 강조 및 안전교육, 윈치양중 작업 최소화와 가능한 CAR작업 진행을 포함한 유사사고 재발 방지 대책 제출."
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '-4℃', '지상 1층, 지하 15층'입니다. 인적사고 '끼임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철골공사' 작업에서 사고객체 '건설자재'(중분류: '자재')와 관련된 사고가 발생했습니다. 작업 프로세스는 '설치작업'이며, 장소는 '교육연구시설 / 외부', 부위는 '자재 / 고소' 입니다. 사고 원인은 '철골보와 기둥철판 사이 틈새를 고정하는 공구를 빠지지 않도록 하는 안전장치가 미비아여 , 공구가 빠지면서 손가락 협착 발생'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",관련 공종 전 작업자 유해위험사항 재교육과 시공사 및 감리자 행정지도 실시
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '0℃', '지상 3층, 지하 0층'입니다. 인적사고 '떨어짐(2미터 이상 ~ 3미터 미만)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '금속공사' 작업에서 사고객체 '가시설'(중분류: '시스템동바리')와 관련된 사고가 발생했습니다. 작업 프로세스는 '마감작업'이며, 장소는 '교육연구시설 / 외부', 부위는 '시스템동바리 / 계단' 입니다. 사고 원인은 '비계계단에서 이동중 근로자 부주의로 인해 발을 헛디뎌 떨어짐'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","안전교육, 현장 내 관리감독 철저, 개인보호구 착용상태 관리 철저."
"사고인지 시간 '정규작업 -'이고, 날씨 '강우' 일 때 기온 '4℃', '지상 49층, 지하 7층'입니다. 인적사고 '끼임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '가시설'(중분류: '거푸집')와 관련된 사고가 발생했습니다. 작업 프로세스는 '해체작업'이며, 장소는 '공동주택 / 내부', 부위는 '거푸집 / 바닥' 입니다. 사고 원인은 '고소작업대 운전원과 동승자(재해자) 사이 소통 미흡'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",TBM을 통한 재해사례 전파 및 지속적인 교육 실시와 안전교육 지도를 포함한 향후 조치 계획.
"사고인지 시간 '기타 -'이고, 날씨 '맑음' 일 때 기온 '12℃', '지상 4층, 지하 0층'입니다. 인적사고 '떨어짐(10미터 이상)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '가시설'(중분류: '비계')와 관련된 사고가 발생했습니다. 작업 프로세스는 '기타'이며, 장소는 '기타 / 내부', 부위는 '비계 / 상부(위)' 입니다. 사고 원인은 '사고자(000) 단독으로 임의작업 시행(작업계획 3층, 사고현장 1층)으로 안전고리 미착용 등 근로자 부주의, 2인이상 작업 미시행'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","공사 중지와 위험성 평가 재검토 및 재수립, 안전교육 시행, 현장 내 안전시설물 재점검 및 보강, 안전 보호 장비 착용 후 작업 시행, 위험성 평가 반영한 작업계획 수립 및 안전교육 실시, 작업방법에 대한 상시 관리감독 및 작업자 맞춤 안전교육 실시."
